20	11	22
131	43	118
84	33	78
288	37	73
306	29	86
74	35	101
121	43	118
312	81	314
318	23	316
196	23	203
344	92	1
343	3	180
204	37	203
349	14	362
268	23	266
87	30	88
132	43	118
5	3	3
18	9	19
215	5	216
331	87	329
142	45	143
28	18	30
32	23	237
53	23	52
213	45	214
325	86	326
259	6	253
29	16	30
77	30	78
337	6	195
347	93	31
316	0	317
90	58	91
104	40	101
71	32	67
211	57	212
89	35	90
294	77	50
376	12	377
145	14	146
350	15	349
155	30	91
374	47	375
167	6	91
186	51	187
136	43	118
11	24	241
195	11	196
26	14	25
261	6	253
125	43	118
376	47	378
172	6	91
351	31	348
224	15	51
39	3	209
257	38	258
129	43	118
108	41	101
348	18	349
120	43	118
272	73	275
44	22	45
42	6	41
265	3	266
35	12	109
367	29	166
285	75	286
135	43	118
75	23	76
97	6	4
316	12	318
340	11	254
280	24	281
213	21	149
372	11	373
83	33	78
163	6	91
145	13	41
68	30	67
267	8	263
127	43	118
254	16	253
358	11	359
354	6	45
54	12	55
2	2	4
43	6	41
223	57	224
29	17	31
86	11	78
357	24	58
192	21	193
93	6	4
310	23	311
327	41	101
58	27	57
137	30	138
250	19	67
6	4	7
213	47	198
262	6	253
64	31	46
361	29	104
339	90	254
315	82	313
32	65	203
110	33	101
160	32	91
14	7	15
254	44	255
56	26	57
38	21	39
89	36	91
30	11	45
203	54	253
226	6	51
178	49	180
205	55	206
23	11	48
72	24	46
148	53	147
243	66	244
102	39	103
147	36	148
61	29	62
70	30	46
253	54	24
201	6	197
287	76	73
305	80	86
124	43	118
3	6	4
238	66	239
209	23	210
246	11	241
278	5	279
92	6	4
24	14	25
20	10	21
181	19	99
168	6	91
117	43	118
312	79	313
169	6	91
295	53	296
69	30	46
2	1	3
282	46	180
305	21	306
212	6	91
232	45	233
95	6	4
157	30	91
11	33	247
51	11	50
223	60	51
356	6	4
173	6	91
140	44	141
258	6	253
71	32	46
230	61	180
283	6	180
248	69	67
321	84	322
178	48	179
116	6	100
364	5	365
184	50	185
28	11	32
62	43	118
150	30	91
253	11	101
37	6	35
119	43	118
99	42	182
330	87	329
79	30	78
319	53	320
299	79	300
207	56	208
297	78	298
27	6	28
309	6	86
64	12	66
164	6	91
154	30	91
60	12	57
242	68	241
130	43	118
87	34	35
338	12	195
174	47	175
176	6	102
234	63	235
318	32	317
272	72	273
379	97	380
46	23	45
0	0	1
342	3	236
91	42	101
115	6	100
276	30	277
256	16	253
23	12	21
269	24	267
107	41	101
190	53	191
188	52	189
200	6	199
34	20	35
72	24	67
152	30	91
340	16	253
161	32	91
263	71	264
305	21	307
269	24	266
98	37	4
55	23	54
348	18	350
149	30	91
47	23	45
221	45	222
166	6	91
69	30	67
345	76	31
16	8	17
257	6	253
202	37	203
193	6	293
240	67	241
57	95	371
180	24	284
301	11	302
307	29	306
355	6	67
227	23	228
100	24	99
64	12	65
194	19	193
224	23	223
81	6	82
162	32	91
85	33	78
123	43	118
26	15	24
111	6	112
106	41	101
128	43	118
139	2	118
334	88	335
45	35	179
230	62	231
274	74	273
55	91	341
182	35	370
134	43	118
183	29	122
156	30	91
198	6	199
10	6	11
323	85	324
219	45	220
80	30	78
303	53	304
133	43	118
369	94	30
68	30	46
177	11	89
345	45	346
289	24	290
